"No.","Time","Source","Destination","Protocol","Length","Info","RTT","ACK","Retransmisiones","Analisis RTO"
"1846","2021-11-28 18:32:47,050926","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1847","2021-11-28 18:32:47,070448","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1848","2021-11-28 18:32:50,637738","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1849","2021-11-28 18:32:51,091229","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1850","2021-11-28 18:32:51,114198","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1851","2021-11-28 18:32:53,074056","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1852","2021-11-28 18:32:55,134590","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1853","2021-11-28 18:32:55,153156","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1854","2021-11-28 18:32:59,179743","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1855","2021-11-28 18:32:59,198287","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1856","2021-11-28 18:33:01,378049","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1857","2021-11-28 18:33:03,214492","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1858","2021-11-28 18:33:03,223804","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1859","2021-11-28 18:33:03,808377","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1860","2021-11-28 18:33:07,243202","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1861","2021-11-28 18:33:07,262813","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1862","2021-11-28 18:33:11,287058","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1863","2021-11-28 18:33:11,315098","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1864","2021-11-28 18:33:11,942367","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1865","2021-11-28 18:33:14,424828","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1866","2021-11-28 18:33:15,328614","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1867","2021-11-28 18:33:15,338371","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1868","2021-11-28 18:33:17,697870","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"1869","2021-11-28 18:33:19,359685","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1870","2021-11-28 18:33:19,377009","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1871","2021-11-28 18:33:22,474184","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1872","2021-11-28 18:33:23,398830","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1873","2021-11-28 18:33:23,417641","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1874","2021-11-28 18:33:25,044390","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1875","2021-11-28 18:33:27,437360","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1876","2021-11-28 18:33:27,458843","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1877","2021-11-28 18:33:30,327820","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"1878","2021-11-28 18:33:31,482259","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1879","2021-11-28 18:33:31,496899","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1880","2021-11-28 18:33:32,516749","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1881","2021-11-28 18:33:35,048371","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1882","2021-11-28 18:33:35,522044","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1883","2021-11-28 18:33:35,548395","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1884","2021-11-28 18:33:39,594104","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1885","2021-11-28 18:33:39,614327","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1886","2021-11-28 18:33:43,203127","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1887","2021-11-28 18:33:43,634968","PcsCompu_63:b6:65","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.2","","","",""
"1888","2021-11-28 18:33:43,646676","c2:03:04:38:00:00","PcsCompu_63:b6:65","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1889","2021-11-28 18:33:43,674975","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1890","2021-11-28 18:33:43,696446","PcsCompu_63:b6:65","Broadcast","ARP","60","Who has 10.0.0.1? Tell 10.0.0.2","","","",""
"1891","2021-11-28 18:33:43,704255","c2:04:04:48:00:00","PcsCompu_63:b6:65","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1892","2021-11-28 18:33:43,732688","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1893","2021-11-28 18:33:45,573552","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1894","2021-11-28 18:33:47,755041","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1895","2021-11-28 18:33:47,776673","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1896","2021-11-28 18:33:51,794278","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1897","2021-11-28 18:33:51,808100","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1898","2021-11-28 18:33:53,849230","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1899","2021-11-28 18:33:55,826356","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1900","2021-11-28 18:33:55,864423","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1901","2021-11-28 18:33:56,226981","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1902","2021-11-28 18:33:59,886523","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1903","2021-11-28 18:33:59,907019","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1904","2021-11-28 18:34:03,923724","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at 08:00:27:63:b6:65","","","",""
"1905","2021-11-28 18:34:03,932533","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at 08:00:27:63:b6:65","","","",""
"1906","2021-11-28 18:34:04,215524","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1907","2021-11-28 18:34:05,516359","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1908","2021-11-28 18:34:05,538811","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1909","2021-11-28 18:34:05,637590","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"1910","2021-11-28 18:34:05,662456","PcsCompu_63:b6:65","c2:03:04:38:00:00","ARP","60","10.0.0.1 is at c2:04:04:48:00:00","","","",""
"1911","2021-11-28 18:34:05,750746","PcsCompu_63:b6:65","c2:04:04:48:00:00","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
